,index,Filename,Date,JDate,Julian,TTR,WordCount,UniqueWords,MLU,Fillers,NSNouns,LIVerbs,",",.,:,CC,CD,DT,EX,IN,JJ,JJR,JJS,MD,NN,NNP,NNPS,NNS,POS,PRP,PRP$,RB,RBR,RBS,RP,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WRB,'',``,$,FW,PDT,WP$,Nouns,Nouns/100,NounsNormalised,Adjectives,Adjectives/100,AdjectivesNormalised,Adverbs,Adverbs/100,AdverbsNormalised,Verbs,Verbs/100,VerbsNormalised
10,10,Trump - Speech11 - Edited.txt,09/06/2017,2017-06-09,2457913.5,0.3566433566433567,1001.0,357.0,11.037383177570092,3.0,2.0,47.0,72.0,107.0,5.0,45.0,7.0,93.0,4.0,74.0,54.0,2.0,0.0,21.0,98.0,54.0,5.0,28.0,0.0,120.0,7.0,103.0,0.0,0.0,1.0,31.0,7.0,63.0,30.0,28.0,18.0,66.0,18.0,3.0,12.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,185.0,1.85,0.1848151848151848,56.0,0.56,0.055944055944055944,103.0,1.03,0.1028971028971029,223.0,2.23,0.22277722277722278
11,11,Trump - Speech12 - Edited.txt,13/07/2017,2017-07-13,2457947.5,0.34522560335781743,953.0,329.0,13.107142857142858,1.0,4.0,36.0,63.0,84.0,2.0,40.0,11.0,117.0,0.0,99.0,62.0,1.0,3.0,20.0,112.0,43.0,0.0,28.0,0.0,99.0,6.0,82.0,0.0,2.0,1.0,15.0,3.0,39.0,36.0,18.0,17.0,48.0,29.0,12.0,6.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,183.0,1.83,0.19202518363064008,66.0,0.66,0.06925498426023086,84.0,0.84,0.08814270724029381,187.0,1.87,0.19622245540398742
12,12,Trump - Speech13 - Edited.txt,25/07/2017,2017-07-25,2457959.5,0.3666044776119403,1072.0,393.0,13.797752808988767,3.0,3.0,59.0,66.0,89.0,5.0,42.0,16.0,94.0,0.0,106.0,65.0,2.0,0.0,22.0,90.0,71.0,4.0,39.0,0.0,131.0,6.0,82.0,1.0,0.0,6.0,32.0,1.0,58.0,32.0,25.0,18.0,64.0,34.0,10.0,13.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,204.0,2.04,0.19029850746268656,67.0,0.67,0.0625,83.0,0.83,0.07742537313432836,231.0,2.31,0.21548507462686567
13,13,Trump - Speech14 - Edited.txt,28/08/2017,2017-08-28,2457993.5,0.2749326145552561,2226.0,612.0,14.032608695652176,9.0,8.0,88.0,169.0,184.0,4.0,86.0,34.0,203.0,1.0,238.0,145.0,5.0,7.0,58.0,215.0,155.0,5.0,74.0,1.0,249.0,18.0,178.0,0.0,0.0,3.0,47.0,7.0,99.0,62.0,45.0,49.0,123.0,75.0,10.0,16.0,9.0,4.0,4.0,0.0,0.0,0.0,0.0,449.0,4.49,0.20170709793351302,157.0,1.57,0.07053009883198562,178.0,1.78,0.07996406109613657,453.0,4.53,0.20350404312668463
14,14,Trump - Speech15 - Edited.txt,07/09/2017,2017-09-07,2458003.5,0.3441208198489752,927.0,319.0,12.647058823529413,1.0,6.0,55.0,63.0,85.0,1.0,34.0,4.0,80.0,3.0,94.0,53.0,1.0,3.0,33.0,73.0,60.0,2.0,29.0,1.0,115.0,6.0,74.0,2.0,1.0,2.0,22.0,4.0,69.0,11.0,20.0,20.0,64.0,32.0,4.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,164.0,1.64,0.17691477885652643,57.0,0.57,0.061488673139158574,77.0,0.77,0.08306364617044229,216.0,2.16,0.23300970873786409
15,15,Trump - Speech16 - Edited.txt,26/09/2017,2017-09-26,2458022.5,0.31836091410559497,1269.0,404.0,13.895238095238097,9.0,2.0,40.0,84.0,105.0,2.0,56.0,12.0,105.0,0.0,132.0,89.0,2.0,1.0,27.0,114.0,82.0,2.0,42.0,1.0,145.0,25.0,103.0,1.0,1.0,4.0,26.0,2.0,56.0,36.0,36.0,42.0,77.0,38.0,6.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,2.4,0.18912529550827423,92.0,0.92,0.07249802994483845,105.0,1.05,0.08274231678486997,285.0,2.85,0.22458628841607564
16,16,Trump - Speech17 - Edited.txt,16/10/2017,2017-10-16,2458042.5,0.20796676441837733,4092.0,851.0,13.592592592592592,25.0,16.0,237.0,325.0,351.0,8.0,145.0,57.0,351.0,5.0,382.0,222.0,8.0,9.0,68.0,416.0,163.0,15.0,151.0,9.0,525.0,29.0,359.0,3.0,0.0,12.0,138.0,15.0,216.0,78.0,132.0,69.0,324.0,127.0,11.0,25.0,21.0,0.0,0.0,2.0,0.0,0.0,0.0,745.0,7.45,0.18206256109481916,239.0,2.39,0.05840664711632453,362.0,3.62,0.0884652981427175,946.0,9.46,0.23118279569892472
17,17,Trump - Speech18 - Edited.txt,17/10/2017,2017-10-17,2458043.5,0.2977303070761015,1498.0,446.0,15.194690265486724,7.0,0.0,73.0,105.0,113.0,1.0,65.0,13.0,151.0,2.0,154.0,102.0,9.0,1.0,31.0,148.0,65.0,12.0,76.0,1.0,170.0,11.0,117.0,0.0,1.0,7.0,40.0,3.0,61.0,19.0,48.0,24.0,112.0,40.0,3.0,5.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,301.0,3.01,0.20093457943925233,112.0,1.12,0.07476635514018691,118.0,1.18,0.0787716955941255,304.0,3.04,0.20293724966622162
18,18,Trump - Speech19 - Edited.txt,06/11/2017,2017-11-06,2458063.5,0.3325041459369817,1206.0,401.0,18.47297297297297,1.0,5.0,49.0,87.0,74.0,3.0,49.0,10.0,110.0,0.0,131.0,83.0,4.0,5.0,32.0,114.0,40.0,8.0,49.0,2.0,140.0,13.0,103.0,2.0,0.0,6.0,23.0,1.0,61.0,22.0,21.0,31.0,68.0,49.0,10.0,6.0,6.0,1.0,1.0,2.0,0.0,0.0,0.0,211.0,2.11,0.17495854063018243,92.0,0.92,0.07628524046434494,105.0,1.05,0.08706467661691543,252.0,2.52,0.208955223880597
19,19,Trump - Speech20 - Edited.txt,07/11/2017,2017-11-07,2458064.5,0.34006376195536664,941.0,320.0,15.897058823529413,2.0,1.0,50.0,70.0,68.0,3.0,37.0,5.0,92.0,4.0,92.0,42.0,2.0,7.0,26.0,93.0,50.0,1.0,23.0,2.0,121.0,7.0,69.0,1.0,0.0,6.0,25.0,2.0,59.0,17.0,24.0,21.0,64.0,30.0,8.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,167.0,1.67,0.17747077577045697,51.0,0.51,0.05419766206163656,70.0,0.7,0.07438894792773645,215.0,2.15,0.22848034006376194
20,20,Trump - Speech21 - Edited.txt,12/11/2017,2017-11-12,2458069.5,0.4137291280148423,539.0,223.0,15.073170731707316,2.0,8.0,23.0,38.0,41.0,2.0,23.0,3.0,34.0,6.0,57.0,27.0,0.0,0.0,9.0,47.0,27.0,0.0,17.0,0.0,54.0,9.0,55.0,1.0,0.0,0.0,25.0,1.0,35.0,23.0,8.0,10.0,27.0,26.0,4.0,5.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,91.0,0.91,0.16883116883116883,27.0,0.27,0.05009276437847866,56.0,0.56,0.1038961038961039,129.0,1.29,0.23933209647495363
21,21,Trump - Speech22 - Edited.txt,10/01/2018,2018-01-10,2458128.5,0.3200285103349965,1403.0,449.0,13.235772357723578,2.0,5.0,40.0,97.0,123.0,8.0,64.0,7.0,154.0,6.0,143.0,77.0,6.0,2.0,26.0,166.0,69.0,11.0,40.0,1.0,151.0,19.0,101.0,3.0,0.0,9.0,30.0,1.0,60.0,49.0,33.0,22.0,79.0,45.0,6.0,7.0,9.0,1.0,1.0,0.0,0.0,2.0,0.0,286.0,2.86,0.20384889522451888,85.0,0.85,0.06058446186742694,104.0,1.04,0.07412687099073414,288.0,2.88,0.2052744119743407
22,22,Trump - Speech23 - Edited.txt,23/02/2018,2018-02-23,2458172.5,0.25366262034323983,2389.0,606.0,14.655913978494626,6.0,11.0,125.0,149.0,186.0,7.0,107.0,15.0,220.0,5.0,224.0,142.0,11.0,3.0,53.0,231.0,122.0,12.0,94.0,4.0,272.0,18.0,172.0,2.0,0.0,11.0,85.0,3.0,145.0,45.0,59.0,42.0,147.0,82.0,18.0,11.0,16.0,5.0,5.0,0.0,1.0,2.0,0.0,459.0,4.59,0.1921305985768104,156.0,1.56,0.06529928840519046,174.0,1.74,0.07283382168271244,520.0,5.2,0.2176642946839682
23,23,Trump - Speech24 - Edited.txt,06/03/2018,2018-03-06,2458183.5,0.23968835930339136,2182.0,523.0,13.765027322404373,18.0,3.0,92.0,152.0,183.0,22.0,108.0,30.0,174.0,7.0,197.0,116.0,9.0,6.0,35.0,186.0,97.0,6.0,79.0,0.0,288.0,25.0,208.0,4.0,0.0,10.0,49.0,3.0,100.0,28.0,63.0,48.0,176.0,70.0,5.0,6.0,9.0,6.0,6.0,8.0,0.0,0.0,0.0,368.0,3.68,0.1686526122823098,131.0,1.31,0.06003666361136572,212.0,2.12,0.09715857011915674,485.0,4.85,0.22227314390467462
24,24,Trump - Speech25 - Edited.txt,24/04/2018,2018-04-24,2458232.5,0.2574018126888217,3310.0,852.0,14.306818181818182,9.0,7.0,136.0,200.0,264.0,5.0,140.0,34.0,273.0,4.0,355.0,212.0,4.0,7.0,87.0,322.0,236.0,15.0,108.0,10.0,365.0,48.0,226.0,1.0,0.0,14.0,97.0,5.0,177.0,75.0,69.0,80.0,175.0,88.0,14.0,25.0,9.0,13.0,13.0,7.0,0.0,0.0,0.0,681.0,6.81,0.2057401812688822,223.0,2.23,0.06737160120845921,227.0,2.27,0.06858006042296072,664.0,6.64,0.20060422960725074
25,25,Trump - Speech26 - Edited.txt,27/04/2018,2018-04-27,2458235.5,0.2297979797979798,2376.0,546.0,15.162011173184354,10.0,15.0,100.0,159.0,177.0,40.0,87.0,36.0,218.0,7.0,210.0,131.0,14.0,5.0,59.0,212.0,107.0,9.0,85.0,5.0,324.0,9.0,140.0,1.0,2.0,10.0,70.0,4.0,123.0,75.0,76.0,45.0,150.0,70.0,16.0,14.0,9.0,0.0,0.0,15.0,0.0,0.0,0.0,413.0,4.13,0.17382154882154882,150.0,1.5,0.06313131313131314,143.0,1.43,0.06018518518518518,539.0,5.39,0.22685185185185186
26,26,Trump - Speech27 - Edited.txt,30/04/2018,2018-04-30,2458238.5,0.25759345794392524,1712.0,441.0,11.951219512195122,10.0,6.0,70.0,81.0,163.0,19.0,81.0,16.0,159.0,7.0,151.0,91.0,8.0,4.0,40.0,162.0,72.0,3.0,61.0,2.0,216.0,13.0,141.0,2.0,0.0,7.0,45.0,6.0,93.0,33.0,45.0,26.0,108.0,66.0,11.0,15.0,6.0,2.0,1.0,4.0,0.0,0.0,0.0,298.0,2.98,0.17406542056074767,103.0,1.03,0.06016355140186916,143.0,1.43,0.08352803738317757,371.0,3.71,0.2167056074766355
27,27,Trump - Speech28 - Edited.txt,01/06/2018,2018-06-01,2458270.5,0.1871803614047051,2933.0,549.0,11.632302405498278,16.0,12.0,137.0,159.0,291.0,44.0,108.0,41.0,237.0,3.0,241.0,152.0,2.0,5.0,78.0,229.0,115.0,5.0,94.0,0.0,427.0,21.0,225.0,0.0,1.0,20.0,94.0,6.0,190.0,77.0,98.0,45.0,229.0,99.0,8.0,17.0,20.0,0.0,0.0,4.0,0.0,0.0,0.0,443.0,4.43,0.1510398908966928,159.0,1.59,0.05421070576201841,226.0,2.26,0.07705421070576202,738.0,7.38,0.2516195022161609
28,28,Trump - Speech29 - Edited.txt,16/07/2018,2018-07-16,2458315.5,0.2825040128410915,2492.0,704.0,13.236966824644547,7.0,9.0,88.0,89.0,211.0,1.0,82.0,28.0,240.0,10.0,258.0,156.0,5.0,5.0,45.0,291.0,146.0,16.0,96.0,0.0,257.0,34.0,182.0,2.0,4.0,7.0,79.0,1.0,121.0,96.0,48.0,44.0,135.0,64.0,7.0,12.0,19.0,0.0,0.0,0.0,0.0,2.0,0.0,549.0,5.49,0.22030497592295345,166.0,1.66,0.0666131621187801,188.0,1.88,0.0754414125200642,508.0,5.08,0.20385232744783308
