,Filename,TTR,WordCount,UniqueWords,MLU,Fillers,NSNouns,LIVerbs,$,'',",",.,:,CC,CD,DT,EX,IN,JJ,JJR,JJS,MD,NN,NNP,NNPS,NNS,PDT,POS,PRP,PRP$,RB,RBR,RBS,RP,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WRB,``,SYM,FW,WP$
43,Bush - Speech73 - Edited.txt,0.31045340050377834,1588.0,493.0,22.935064935064936,4.0,4.0,66.0,0.0,0.0,100.0,77.0,30.0,78.0,4.0,174.0,12.0,181.0,54.0,2.0,0.0,32.0,149.0,112.0,18.0,56.0,1.0,2.0,136.0,16.0,110.0,0.0,0.0,8.0,61.0,0.0,101.0,34.0,38.0,29.0,85.0,43.0,9.0,9.0,4.0,0.0,0.0,1.0,0.0
44,Bush - Speech24 - Edited.txt,0.24364338590280013,3107.0,757.0,18.808743169398905,6.0,6.0,107.0,0.0,0.0,145.0,183.0,64.0,141.0,21.0,312.0,17.0,311.0,174.0,4.0,0.0,76.0,330.0,89.0,9.0,94.0,0.0,10.0,324.0,34.0,217.0,4.0,2.0,16.0,117.0,9.0,205.0,83.0,76.0,63.0,145.0,105.0,22.0,28.0,12.0,0.0,0.0,0.0,0.0
45,Bush - Speech93 - Edited.txt,0.2529058116232465,2495.0,631.0,18.22875816993464,10.0,9.0,99.0,0.0,3.0,137.0,153.0,31.0,98.0,15.0,249.0,14.0,288.0,122.0,7.0,1.0,48.0,259.0,105.0,15.0,79.0,3.0,10.0,237.0,20.0,169.0,9.0,0.0,13.0,95.0,3.0,151.0,37.0,67.0,46.0,156.0,81.0,17.0,34.0,14.0,3.0,0.0,0.0,0.0
46,Bush - Speech52 - Edited.txt,0.2211249463288965,4658.0,1030.0,20.28174603174603,16.0,10.0,172.0,1.0,2.0,197.0,252.0,76.0,227.0,22.0,481.0,18.0,554.0,238.0,6.0,8.0,100.0,452.0,179.0,17.0,170.0,4.0,3.0,499.0,46.0,355.0,9.0,1.0,19.0,147.0,0.0,272.0,103.0,93.0,83.0,277.0,120.0,16.0,35.0,25.0,2.0,0.0,0.0,2.0
47,Bush - Speech43 - Edited.txt,0.3713163064833006,1018.0,378.0,18.193548387096776,0.0,2.0,27.0,0.0,0.0,46.0,62.0,12.0,46.0,1.0,100.0,7.0,132.0,47.0,1.0,0.0,23.0,106.0,75.0,11.0,38.0,0.0,1.0,86.0,14.0,68.0,0.0,0.0,1.0,31.0,3.0,51.0,21.0,20.0,25.0,55.0,26.0,4.0,10.0,5.0,0.0,0.0,0.0,0.0
48,Bush - Speech45 - Edited.txt,0.24703620634412046,3121.0,771.0,19.3,9.0,9.0,143.0,0.0,0.0,168.0,180.0,47.0,160.0,18.0,324.0,18.0,318.0,153.0,6.0,1.0,71.0,290.0,107.0,13.0,122.0,2.0,5.0,326.0,21.0,241.0,3.0,1.0,20.0,113.0,6.0,198.0,65.0,74.0,51.0,187.0,98.0,17.0,30.0,20.0,0.0,0.0,0.0,0.0
49,Bush - Speech42 - Edited.txt,0.310589519650655,1832.0,569.0,21.806451612903224,5.0,2.0,72.0,0.0,1.0,101.0,93.0,21.0,100.0,8.0,162.0,11.0,201.0,102.0,3.0,0.0,45.0,164.0,100.0,9.0,72.0,2.0,1.0,193.0,20.0,130.0,2.0,0.0,10.0,73.0,0.0,112.0,30.0,39.0,39.0,112.0,43.0,9.0,14.0,5.0,1.0,0.0,0.0,0.0
50,Bush - Speech132 - Edited.txt,0.32050333086602517,1351.0,433.0,19.243589743589745,5.0,2.0,53.0,0.0,2.0,72.0,78.0,7.0,57.0,6.0,129.0,7.0,142.0,70.0,2.0,1.0,34.0,138.0,47.0,9.0,35.0,0.0,3.0,148.0,16.0,108.0,1.0,0.0,3.0,51.0,0.0,91.0,19.0,38.0,27.0,77.0,57.0,10.0,9.0,5.0,2.0,0.0,0.0,0.0
51,Bush - Speech49 - Edited.txt,0.2567699836867863,3065.0,787.0,20.11904761904762,7.0,5.0,97.0,1.0,0.0,140.0,168.0,33.0,144.0,17.0,318.0,14.0,346.0,154.0,2.0,2.0,63.0,324.0,126.0,12.0,97.0,1.0,4.0,308.0,42.0,215.0,6.0,1.0,8.0,112.0,5.0,174.0,70.0,55.0,84.0,180.0,101.0,19.0,23.0,11.0,0.0,0.0,0.0,0.0
52,Bush - Speech72 - Edited.txt,0.2536231884057971,2346.0,595.0,20.00769230769231,6.0,10.0,84.0,0.0,1.0,123.0,130.0,22.0,100.0,11.0,245.0,16.0,265.0,117.0,3.0,1.0,53.0,249.0,120.0,6.0,73.0,3.0,14.0,192.0,37.0,159.0,5.0,1.0,8.0,98.0,4.0,159.0,69.0,47.0,41.0,97.0,79.0,11.0,32.0,9.0,1.0,0.0,0.0,0.0
53,Bush - Speech104 - Edited.txt,0.3669885864793679,1139.0,418.0,17.54794520547945,2.0,4.0,26.0,0.0,2.0,69.0,73.0,5.0,44.0,9.0,120.0,2.0,119.0,56.0,3.0,2.0,30.0,136.0,35.0,4.0,55.0,1.0,1.0,110.0,15.0,90.0,1.0,1.0,1.0,42.0,0.0,63.0,22.0,24.0,20.0,64.0,40.0,4.0,6.0,10.0,2.0,0.0,0.0,0.0
54,Bush - Speech134 - Edited.txt,0.48195876288659795,388.0,187.0,23.444444444444443,1.0,0.0,17.0,0.0,0.0,16.0,18.0,1.0,17.0,2.0,39.0,0.0,46.0,22.0,0.0,1.0,20.0,37.0,18.0,2.0,10.0,0.0,0.0,40.0,6.0,23.0,0.0,1.0,0.0,14.0,0.0,29.0,4.0,9.0,12.0,21.0,7.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0
55,Bush - Speech62 - Edited.txt,0.20831283817019183,4066.0,847.0,19.809734513274336,15.0,7.0,169.0,0.0,0.0,179.0,226.0,68.0,196.0,21.0,395.0,32.0,443.0,210.0,8.0,0.0,93.0,352.0,161.0,17.0,148.0,2.0,6.0,462.0,44.0,278.0,8.0,0.0,30.0,113.0,3.0,232.0,62.0,93.0,82.0,312.0,125.0,22.0,25.0,29.0,0.0,0.0,0.0,0.0
56,Bush - Speech30 - Edited.txt,0.2773722627737226,2466.0,684.0,17.75,13.0,8.0,87.0,0.0,0.0,143.0,156.0,48.0,108.0,10.0,261.0,14.0,244.0,123.0,3.0,2.0,65.0,254.0,95.0,6.0,90.0,0.0,8.0,251.0,38.0,169.0,3.0,1.0,15.0,86.0,4.0,160.0,69.0,28.0,70.0,113.0,85.0,20.0,16.0,11.0,0.0,0.0,0.0,0.0
57,Bush - Speech48 - Edited.txt,0.2889214250854075,2049.0,592.0,19.56896551724138,8.0,4.0,92.0,1.0,0.0,101.0,116.0,23.0,81.0,21.0,214.0,11.0,232.0,114.0,4.0,2.0,52.0,194.0,83.0,3.0,75.0,2.0,1.0,222.0,14.0,160.0,1.0,1.0,18.0,60.0,0.0,118.0,31.0,33.0,50.0,142.0,52.0,14.0,13.0,11.0,0.0,0.0,0.0,0.0
58,Bush - Speech53 - Edited.txt,0.2891352549889135,2255.0,652.0,17.205479452054796,6.0,5.0,101.0,0.0,0.0,109.0,146.0,29.0,80.0,8.0,221.0,27.0,254.0,132.0,5.0,0.0,68.0,221.0,96.0,8.0,73.0,1.0,1.0,221.0,18.0,186.0,2.0,0.0,9.0,76.0,5.0,150.0,36.0,47.0,58.0,129.0,58.0,8.0,20.0,10.0,0.0,0.0,0.0,0.0
59,Bush - Speech34 - Edited.txt,0.44356435643564357,505.0,224.0,20.555555555555557,0.0,0.0,15.0,0.0,0.0,23.0,27.0,8.0,19.0,3.0,66.0,2.0,69.0,22.0,0.0,1.0,12.0,57.0,24.0,5.0,23.0,0.0,0.0,43.0,6.0,31.0,0.0,0.0,1.0,12.0,0.0,28.0,8.0,11.0,10.0,21.0,14.0,2.0,4.0,3.0,0.0,0.0,0.0,0.0
60,Bush - Speech97 - Edited.txt,0.328393135725429,1282.0,421.0,16.40909090909091,9.0,6.0,43.0,0.0,1.0,73.0,88.0,2.0,57.0,6.0,130.0,6.0,154.0,46.0,5.0,6.0,27.0,123.0,49.0,6.0,41.0,1.0,2.0,147.0,8.0,107.0,0.0,1.0,4.0,34.0,0.0,63.0,27.0,26.0,43.0,80.0,51.0,4.0,18.0,7.0,1.0,0.0,0.0,0.0
61,Bush - Speech95 - Edited.txt,0.23235800344234078,3486.0,810.0,20.684491978609625,7.0,7.0,131.0,1.0,4.0,189.0,187.0,18.0,147.0,22.0,371.0,22.0,445.0,179.0,4.0,6.0,76.0,405.0,123.0,27.0,105.0,1.0,6.0,353.0,29.0,227.0,4.0,3.0,17.0,104.0,3.0,182.0,60.0,63.0,78.0,201.0,121.0,17.0,37.0,27.0,4.0,0.0,0.0,0.0
62,Bush - Speech70 - Edited.txt,0.2180611519317374,4219.0,920.0,18.10546875,20.0,13.0,200.0,1.0,2.0,156.0,256.0,51.0,200.0,19.0,462.0,28.0,472.0,213.0,9.0,0.0,107.0,391.0,172.0,25.0,177.0,5.0,10.0,411.0,50.0,287.0,3.0,0.0,25.0,151.0,2.0,267.0,85.0,60.0,116.0,248.0,99.0,31.0,21.0,21.0,2.0,0.0,0.0,0.0
63,Bush - Speech26 - Edited.txt,0.23354334129915272,4603.0,1075.0,17.033112582781456,9.0,10.0,172.0,1.0,1.0,232.0,302.0,64.0,187.0,32.0,467.0,24.0,473.0,228.0,5.0,10.0,90.0,479.0,156.0,5.0,176.0,4.0,13.0,486.0,44.0,349.0,4.0,2.0,29.0,185.0,4.0,283.0,92.0,95.0,74.0,277.0,156.0,26.0,51.0,37.0,1.0,0.0,0.0,0.0
64,Bush - Speech106 - Edited.txt,0.20678818353236958,4773.0,987.0,16.651234567901234,18.0,4.0,203.0,0.0,2.0,291.0,324.0,28.0,197.0,37.0,510.0,23.0,519.0,242.0,14.0,4.0,114.0,477.0,177.0,23.0,191.0,5.0,9.0,491.0,48.0,358.0,2.0,1.0,22.0,169.0,6.0,267.0,66.0,105.0,109.0,286.0,166.0,35.0,50.0,24.0,2.0,0.0,0.0,1.0
65,Bush - Speech118 - Edited.txt,0.3279088689991863,1229.0,403.0,19.753623188405797,1.0,6.0,55.0,0.0,1.0,64.0,69.0,9.0,48.0,3.0,127.0,4.0,157.0,72.0,1.0,3.0,35.0,127.0,41.0,5.0,42.0,0.0,3.0,124.0,10.0,72.0,3.0,0.0,6.0,48.0,3.0,78.0,19.0,41.0,25.0,55.0,45.0,8.0,10.0,4.0,1.0,0.0,0.0,0.0
66,Bush - Speech63 - Edited.txt,0.2823244552058111,2065.0,583.0,21.185185185185187,10.0,4.0,51.0,0.0,1.0,114.0,108.0,20.0,95.0,9.0,226.0,9.0,239.0,96.0,5.0,2.0,52.0,188.0,109.0,7.0,74.0,2.0,3.0,218.0,27.0,149.0,0.0,0.0,11.0,68.0,1.0,106.0,36.0,35.0,48.0,109.0,84.0,13.0,15.0,8.0,1.0,0.0,0.0,0.0
67,Bush - Speech121 - Edited.txt,0.3092909535452323,1636.0,506.0,18.25,2.0,5.0,64.0,0.0,3.0,88.0,100.0,10.0,61.0,11.0,178.0,7.0,170.0,82.0,6.0,3.0,33.0,172.0,81.0,1.0,65.0,1.0,7.0,179.0,20.0,101.0,4.0,0.0,3.0,56.0,3.0,94.0,25.0,24.0,38.0,102.0,58.0,11.0,13.0,11.0,3.0,0.0,0.0,1.0
68,Bush - Speech86 - Edited.txt,0.23617834394904458,3925.0,927.0,19.021834061135372,16.0,8.0,116.0,0.0,2.0,202.0,228.0,60.0,179.0,16.0,346.0,19.0,420.0,218.0,8.0,3.0,73.0,358.0,140.0,15.0,163.0,3.0,6.0,451.0,47.0,280.0,5.0,4.0,35.0,118.0,6.0,201.0,159.0,78.0,90.0,207.0,129.0,19.0,38.0,28.0,2.0,0.0,0.0,0.0
69,Bush - Speech78 - Edited.txt,0.22208990771062817,3359.0,746.0,17.97584541062802,13.0,5.0,160.0,0.0,2.0,152.0,207.0,65.0,154.0,21.0,346.0,25.0,340.0,158.0,7.0,3.0,98.0,273.0,131.0,26.0,153.0,0.0,3.0,337.0,41.0,240.0,2.0,2.0,21.0,103.0,6.0,226.0,54.0,72.0,90.0,202.0,97.0,21.0,37.0,4.0,2.0,0.0,0.0,0.0
70,Bush - Speech56 - Edited.txt,0.2636511817440913,2454.0,647.0,18.335570469798657,7.0,3.0,75.0,0.0,1.0,122.0,149.0,36.0,105.0,11.0,243.0,17.0,249.0,126.0,10.0,3.0,66.0,248.0,126.0,14.0,81.0,3.0,3.0,244.0,14.0,174.0,5.0,1.0,13.0,87.0,8.0,147.0,37.0,58.0,58.0,158.0,72.0,12.0,16.0,12.0,1.0,0.0,0.0,2.0
71,Bush - Speech9 - Edited.txt,0.3483309143686502,1378.0,480.0,20.13157894736842,9.0,1.0,60.0,0.0,0.0,73.0,76.0,19.0,71.0,3.0,128.0,4.0,168.0,77.0,2.0,1.0,32.0,138.0,57.0,9.0,54.0,0.0,2.0,125.0,11.0,80.0,1.0,1.0,11.0,63.0,4.0,101.0,23.0,26.0,28.0,73.0,39.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0
72,Bush - Speech77 - Edited.txt,0.33253588516746413,1254.0,417.0,17.34567901234568,5.0,3.0,46.0,0.0,0.0,70.0,81.0,13.0,50.0,11.0,140.0,5.0,139.0,53.0,5.0,1.0,26.0,116.0,68.0,11.0,53.0,1.0,2.0,125.0,22.0,97.0,0.0,0.0,2.0,40.0,3.0,75.0,22.0,31.0,23.0,82.0,21.0,7.0,9.0,1.0,0.0,0.0,0.0,0.0
73,Bush - Speech38 - Edited.txt,0.22965412004069177,3932.0,903.0,17.171206225680933,18.0,9.0,152.0,0.0,1.0,218.0,257.0,62.0,187.0,23.0,413.0,27.0,428.0,167.0,9.0,2.0,76.0,396.0,159.0,5.0,134.0,3.0,5.0,446.0,28.0,280.0,5.0,0.0,25.0,125.0,10.0,219.0,71.0,97.0,65.0,287.0,109.0,23.0,27.0,21.0,1.0,0.0,2.0,0.0
74,Bush - Speech98 - Edited.txt,0.2318878900052882,3782.0,877.0,16.234615384615385,18.0,18.0,154.0,0.0,3.0,179.0,259.0,32.0,146.0,31.0,370.0,28.0,418.0,173.0,17.0,6.0,92.0,383.0,111.0,10.0,146.0,5.0,4.0,404.0,25.0,278.0,7.0,0.0,17.0,129.0,7.0,262.0,55.0,102.0,71.0,250.0,120.0,27.0,27.0,22.0,3.0,0.0,1.0,1.0
75,Bush - Speech33 - Edited.txt,0.22453016815034618,4044.0,908.0,18.6597510373444,26.0,5.0,178.0,0.0,1.0,206.0,241.0,60.0,167.0,25.0,435.0,18.0,418.0,183.0,12.0,3.0,112.0,372.0,156.0,22.0,164.0,7.0,6.0,435.0,39.0,312.0,6.0,3.0,13.0,127.0,5.0,260.0,76.0,70.0,82.0,257.0,123.0,29.0,36.0,15.0,1.0,0.0,0.0,0.0
76,Bush - Speech68 - Edited.txt,0.28540540540540543,1850.0,528.0,19.815533980582526,10.0,3.0,54.0,0.0,0.0,88.0,103.0,25.0,66.0,2.0,200.0,19.0,215.0,86.0,1.0,4.0,46.0,194.0,73.0,8.0,52.0,2.0,1.0,169.0,17.0,127.0,7.0,1.0,7.0,71.0,1.0,111.0,27.0,48.0,45.0,107.0,67.0,21.0,19.0,10.0,1.0,0.0,0.0,0.0
77,Bush - Speech79 - Edited.txt,0.494140625,512.0,253.0,15.45945945945946,1.0,0.0,16.0,0.0,0.0,22.0,37.0,2.0,20.0,4.0,50.0,5.0,60.0,19.0,1.0,0.0,15.0,48.0,37.0,1.0,20.0,0.0,3.0,52.0,8.0,28.0,0.0,1.0,2.0,21.0,2.0,32.0,23.0,6.0,9.0,24.0,10.0,1.0,6.0,3.0,0.0,0.0,0.0,0.0
78,Bush - Speech28 - Edited.txt,0.30174927113702626,2058.0,621.0,20.889908256880734,7.0,2.0,67.0,0.0,1.0,106.0,109.0,30.0,98.0,9.0,216.0,9.0,222.0,102.0,2.0,2.0,62.0,186.0,134.0,10.0,74.0,1.0,3.0,217.0,17.0,127.0,7.0,1.0,8.0,68.0,3.0,126.0,45.0,37.0,53.0,119.0,47.0,9.0,9.0,6.0,1.0,0.0,0.0,1.0
79,Bush - Speech15 - Edited.txt,0.228515625,3584.0,819.0,21.73224043715847,6.0,8.0,150.0,2.0,3.0,204.0,183.0,64.0,167.0,20.0,334.0,8.0,400.0,208.0,13.0,5.0,96.0,341.0,136.0,19.0,142.0,3.0,10.0,349.0,40.0,237.0,6.0,1.0,21.0,143.0,6.0,258.0,42.0,87.0,48.0,190.0,116.0,18.0,29.0,22.0,3.0,0.0,2.0,1.0
80,Bush - Speech1 - Edited.txt,0.22778129617901627,4737.0,1079.0,18.33910034602076,19.0,16.0,191.0,2.0,3.0,263.0,289.0,79.0,212.0,37.0,486.0,30.0,551.0,243.0,13.0,4.0,89.0,517.0,193.0,3.0,180.0,5.0,9.0,496.0,47.0,307.0,5.0,1.0,20.0,151.0,16.0,270.0,60.0,104.0,80.0,289.0,163.0,24.0,23.0,31.0,3.0,0.0,2.0,0.0
81,Bush - Speech44 - Edited.txt,0.22412993039443155,4310.0,966.0,16.408163265306122,12.0,19.0,158.0,0.0,1.0,215.0,294.0,48.0,201.0,20.0,467.0,31.0,466.0,190.0,8.0,3.0,97.0,451.0,186.0,14.0,118.0,4.0,8.0,450.0,55.0,267.0,3.0,1.0,22.0,158.0,8.0,274.0,91.0,94.0,96.0,245.0,156.0,28.0,28.0,22.0,1.0,0.0,3.0,0.0
82,Bush - Speech21 - Edited.txt,0.25298245614035086,2850.0,721.0,20.025316455696203,18.0,7.0,119.0,4.0,2.0,151.0,158.0,51.0,150.0,28.0,303.0,17.0,296.0,174.0,12.0,1.0,52.0,317.0,96.0,5.0,113.0,1.0,5.0,269.0,23.0,190.0,6.0,1.0,18.0,90.0,8.0,162.0,34.0,71.0,60.0,152.0,102.0,14.0,14.0,12.0,2.0,0.0,0.0,0.0
83,Bush - Speech59 - Edited.txt,0.27412192167945093,2477.0,679.0,17.645569620253166,9.0,7.0,87.0,0.0,1.0,150.0,158.0,28.0,94.0,19.0,255.0,12.0,253.0,119.0,5.0,2.0,69.0,241.0,86.0,9.0,92.0,2.0,1.0,287.0,33.0,171.0,5.0,0.0,14.0,88.0,1.0,151.0,52.0,79.0,32.0,136.0,95.0,21.0,13.0,13.0,1.0,0.0,0.0,0.0
84,Bush - Speech46 - Edited.txt,0.23478260869565218,3335.0,783.0,17.004587155963304,13.0,6.0,123.0,2.0,1.0,153.0,218.0,44.0,139.0,15.0,341.0,17.0,337.0,144.0,7.0,2.0,66.0,316.0,136.0,9.0,117.0,2.0,5.0,380.0,22.0,247.0,6.0,2.0,14.0,113.0,5.0,206.0,72.0,80.0,71.0,218.0,128.0,19.0,26.0,24.0,1.0,0.0,0.0,2.0
85,Bush - Speech31 - Edited.txt,0.26741573033707866,3115.0,833.0,19.227777777777778,14.0,5.0,138.0,0.0,1.0,161.0,180.0,42.0,149.0,19.0,345.0,15.0,336.0,155.0,1.0,4.0,52.0,289.0,138.0,9.0,127.0,0.0,9.0,326.0,19.0,208.0,4.0,3.0,18.0,101.0,3.0,191.0,55.0,56.0,71.0,216.0,103.0,21.0,19.0,12.0,1.0,0.0,2.0,0.0
86,Bush - Speech123 - Edited.txt,0.292630676949443,2334.0,683.0,17.86986301369863,4.0,5.0,83.0,1.0,1.0,126.0,146.0,20.0,97.0,20.0,251.0,6.0,244.0,149.0,2.0,1.0,62.0,252.0,69.0,6.0,77.0,2.0,0.0,240.0,16.0,170.0,1.0,2.0,15.0,78.0,1.0,150.0,72.0,51.0,45.0,101.0,82.0,14.0,19.0,19.0,1.0,0.0,0.0,0.0
87,Bush - Speech5 - Edited.txt,0.23889063977308542,3173.0,758.0,18.892473118279568,13.0,11.0,132.0,0.0,3.0,154.0,186.0,28.0,171.0,10.0,354.0,25.0,353.0,164.0,5.0,2.0,68.0,336.0,102.0,13.0,104.0,0.0,6.0,318.0,39.0,243.0,6.0,1.0,16.0,97.0,1.0,177.0,55.0,54.0,69.0,193.0,97.0,27.0,19.0,15.0,3.0,0.0,0.0,0.0
88,Bush - Speech113 - Edited.txt,0.39265850945494996,899.0,353.0,18.77358490566038,2.0,2.0,27.0,0.0,0.0,43.0,53.0,4.0,34.0,7.0,89.0,3.0,116.0,58.0,6.0,0.0,19.0,86.0,48.0,3.0,38.0,2.0,1.0,104.0,9.0,54.0,1.0,0.0,1.0,27.0,0.0,44.0,36.0,17.0,15.0,32.0,32.0,6.0,2.0,5.0,0.0,0.0,0.0,0.0
89,Bush - Speech58 - Edited.txt,0.2686993806574559,2099.0,564.0,20.460176991150444,1.0,3.0,59.0,0.0,0.0,99.0,113.0,22.0,91.0,9.0,234.0,13.0,256.0,129.0,4.0,4.0,53.0,197.0,135.0,21.0,67.0,1.0,1.0,194.0,26.0,130.0,1.0,2.0,4.0,72.0,0.0,124.0,40.0,32.0,44.0,96.0,69.0,9.0,7.0,10.0,1.0,0.0,2.0,0.0
90,Bush - Speech51 - Edited.txt,0.22985781990521326,3376.0,776.0,20.585635359116022,8.0,6.0,116.0,1.0,0.0,164.0,181.0,32.0,128.0,15.0,352.0,12.0,421.0,153.0,3.0,0.0,82.0,328.0,212.0,17.0,154.0,2.0,5.0,328.0,40.0,236.0,6.0,2.0,13.0,115.0,1.0,176.0,50.0,52.0,89.0,201.0,94.0,24.0,21.0,13.0,0.0,0.0,3.0,0.0
91,Bush - Speech81 - Edited.txt,0.19952169456781688,5854.0,1168.0,19.1453488372093,19.0,14.0,212.0,0.0,9.0,379.0,344.0,25.0,290.0,40.0,556.0,27.0,659.0,303.0,17.0,14.0,134.0,580.0,233.0,10.0,176.0,4.0,14.0,658.0,78.0,423.0,6.0,2.0,34.0,197.0,16.0,363.0,172.0,104.0,110.0,310.0,184.0,35.0,45.0,25.0,8.0,0.0,2.0,0.0
92,Bush - Speech126 - Edited.txt,0.2287454998615342,3611.0,826.0,17.897777777777776,9.0,13.0,169.0,0.0,4.0,188.0,225.0,14.0,168.0,20.0,370.0,23.0,393.0,202.0,3.0,2.0,89.0,328.0,150.0,15.0,137.0,5.0,10.0,378.0,34.0,239.0,4.0,3.0,19.0,128.0,9.0,231.0,55.0,83.0,80.0,220.0,116.0,23.0,30.0,25.0,4.0,0.0,0.0,0.0
93,Bush - Speech2 - Edited.txt,0.27982326951399117,2037.0,570.0,19.87719298245614,14.0,5.0,102.0,0.0,0.0,112.0,114.0,18.0,92.0,10.0,223.0,12.0,217.0,97.0,3.0,6.0,58.0,196.0,69.0,2.0,76.0,2.0,2.0,177.0,17.0,162.0,3.0,1.0,11.0,97.0,3.0,160.0,39.0,35.0,57.0,109.0,49.0,6.0,19.0,12.0,0.0,0.0,0.0,0.0
94,Bush - Speech128 - Edited.txt,0.3910950661853189,831.0,325.0,17.12962962962963,1.0,2.0,40.0,0.0,2.0,40.0,54.0,4.0,36.0,7.0,87.0,2.0,78.0,38.0,1.0,1.0,18.0,78.0,30.0,3.0,24.0,0.0,2.0,97.0,10.0,67.0,0.0,0.0,4.0,39.0,2.0,58.0,22.0,15.0,20.0,44.0,23.0,8.0,6.0,3.0,2.0,0.0,0.0,0.0
95,Bush - Speech14 - Edited.txt,0.2259700176366843,4536.0,1025.0,19.10188679245283,14.0,13.0,192.0,1.0,5.0,252.0,265.0,76.0,222.0,19.0,411.0,15.0,492.0,233.0,6.0,8.0,95.0,435.0,227.0,20.0,162.0,4.0,7.0,454.0,60.0,301.0,5.0,1.0,20.0,174.0,17.0,291.0,76.0,97.0,92.0,291.0,135.0,19.0,53.0,15.0,5.0,0.0,1.0,0.0
96,Bush - Speech19 - Edited.txt,0.23147301006404392,4372.0,1012.0,19.647773279352226,22.0,10.0,181.0,1.0,4.0,232.0,247.0,74.0,220.0,22.0,488.0,28.0,496.0,229.0,14.0,8.0,101.0,466.0,184.0,17.0,163.0,0.0,3.0,423.0,49.0,299.0,4.0,3.0,22.0,122.0,7.0,257.0,75.0,69.0,80.0,234.0,139.0,28.0,29.0,12.0,4.0,0.0,0.0,0.0
97,Bush - Speech82 - Edited.txt,0.3436426116838488,1164.0,400.0,22.614035087719298,3.0,5.0,41.0,0.0,1.0,68.0,57.0,11.0,52.0,10.0,114.0,2.0,145.0,56.0,3.0,1.0,28.0,116.0,67.0,7.0,45.0,0.0,0.0,115.0,13.0,62.0,1.0,1.0,5.0,41.0,1.0,65.0,17.0,26.0,23.0,77.0,33.0,8.0,9.0,6.0,1.0,1.0,1.0,0.0
98,Bush - Speech6 - Edited.txt,0.24114021571648692,3894.0,939.0,18.50423728813559,11.0,15.0,146.0,0.0,8.0,235.0,236.0,78.0,168.0,30.0,391.0,22.0,403.0,191.0,12.0,6.0,84.0,382.0,145.0,8.0,141.0,3.0,11.0,416.0,52.0,291.0,3.0,1.0,37.0,112.0,3.0,199.0,76.0,88.0,92.0,218.0,132.0,31.0,27.0,26.0,8.0,0.0,0.0,1.0
99,Bush - Speech99 - Edited.txt,0.21775544388609716,4179.0,910.0,16.728571428571428,14.0,13.0,189.0,0.0,2.0,221.0,280.0,40.0,172.0,19.0,401.0,16.0,385.0,204.0,15.0,3.0,111.0,425.0,108.0,4.0,183.0,4.0,16.0,472.0,34.0,322.0,3.0,4.0,21.0,149.0,18.0,328.0,82.0,83.0,91.0,247.0,129.0,31.0,30.0,29.0,2.0,0.0,0.0,0.0
100,Bush - Speech87 - Edited.txt,0.30783132530120483,1660.0,511.0,17.13888888888889,4.0,9.0,78.0,0.0,0.0,83.0,108.0,21.0,76.0,8.0,181.0,10.0,183.0,90.0,2.0,5.0,39.0,146.0,70.0,9.0,66.0,0.0,4.0,169.0,21.0,109.0,7.0,0.0,9.0,58.0,3.0,99.0,32.0,32.0,26.0,95.0,59.0,15.0,10.0,6.0,0.0,0.0,0.0,0.0
101,Bush - Speech125 - Edited.txt,0.2768334142787761,2059.0,570.0,19.25423728813559,12.0,6.0,60.0,0.0,6.0,94.0,118.0,15.0,84.0,10.0,239.0,9.0,242.0,107.0,4.0,1.0,53.0,185.0,114.0,9.0,74.0,0.0,6.0,205.0,19.0,137.0,2.0,2.0,8.0,72.0,2.0,124.0,38.0,35.0,43.0,115.0,58.0,11.0,17.0,8.0,6.0,0.0,0.0,0.0
102,Bush - Speech3 - Edited.txt,0.2817204301075269,2325.0,655.0,17.841379310344827,14.0,13.0,112.0,0.0,0.0,114.0,145.0,34.0,116.0,9.0,241.0,12.0,242.0,110.0,7.0,2.0,50.0,227.0,123.0,6.0,75.0,1.0,6.0,230.0,18.0,152.0,1.0,1.0,17.0,91.0,3.0,150.0,48.0,44.0,54.0,144.0,66.0,17.0,21.0,10.0,0.0,0.0,0.0,0.0
103,Bush - Speech54 - Edited.txt,0.25149324111914495,3181.0,800.0,18.22680412371134,11.0,4.0,120.0,4.0,0.0,150.0,194.0,54.0,138.0,30.0,351.0,13.0,317.0,130.0,6.0,5.0,74.0,292.0,125.0,15.0,93.0,1.0,10.0,374.0,26.0,238.0,6.0,1.0,17.0,121.0,3.0,219.0,93.0,67.0,42.0,178.0,92.0,15.0,24.0,18.0,0.0,0.0,0.0,0.0
104,Bush - Speech127 - Edited.txt,0.23119410836401894,3802.0,879.0,16.66269841269841,8.0,12.0,152.0,0.0,1.0,144.0,252.0,27.0,144.0,30.0,405.0,14.0,408.0,215.0,9.0,6.0,81.0,448.0,140.0,18.0,127.0,0.0,7.0,364.0,44.0,262.0,10.0,1.0,18.0,127.0,3.0,228.0,50.0,82.0,85.0,219.0,157.0,22.0,25.0,25.0,1.0,0.0,0.0,0.0
