,index,Filename,Date,JDate,Julian,TTR,WordCount,UniqueWords,MLU,",",.,:,CC,CD,DT,EX,IN,JJ,JJR,JJS,MD,NN,NNP,NNPS,NNS,PRP,PRP$,RB,RBR,RBS,RP,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WRB,'',POS,``,PDT,WP$,$,FW,SYM,Nouns,Nouns/100,NounsNormalised,Adjectives,Adjectives/100,AdjectivesNormalised,Adverbs,Adverbs/100,AdverbsNormalised,Verbs,Verbs/100,VerbsNormalised
10,10,Bush - Speech12 - Edited.txt,05/06/1989,1989-06-05,2447682.5,0.2858435097241067,2211.0,632.0,21.136752136752136,141.0,117.0,29.0,99.0,8.0,224.0,10.0,245.0,128.0,4.0,3.0,42.0,247.0,78.0,5.0,86.0,219.0,28.0,168.0,6.0,0.0,5.0,85.0,3.0,130.0,50.0,36.0,43.0,137.0,56.0,9.0,20.0,8.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,416.0,4.16,0.18815015829941203,135.0,1.35,0.06105834464043419,174.0,1.74,0.07869742198100407,452.0,4.52,0.20443238353686116
11,11,Bush - Speech13 - Edited.txt,08/06/1989,1989-06-08,2447685.5,0.2483204777307788,4019.0,998.0,18.145161290322577,228.0,248.0,64.0,212.0,22.0,352.0,28.0,419.0,215.0,11.0,2.0,96.0,395.0,153.0,19.0,157.0,418.0,50.0,270.0,2.0,3.0,24.0,120.0,12.0,255.0,105.0,70.0,99.0,222.0,131.0,21.0,36.0,17.0,6.0,6.0,6.0,2.0,3.0,0.0,1.0,0.0,724.0,7.24,0.18014431450609605,228.0,2.28,0.05673052998258273,275.0,2.75,0.06842498133864146,882.0,8.82,0.21945757651157005
12,12,Bush - Speech14 - Edited.txt,27/06/1989,1989-06-27,2447704.5,0.2259700176366843,4536.0,1025.0,19.101886792452827,252.0,265.0,76.0,222.0,19.0,411.0,15.0,492.0,233.0,6.0,8.0,95.0,435.0,227.0,20.0,162.0,454.0,60.0,301.0,5.0,1.0,20.0,174.0,17.0,291.0,76.0,97.0,92.0,291.0,135.0,19.0,53.0,15.0,5.0,7.0,5.0,4.0,0.0,1.0,1.0,0.0,844.0,8.44,0.18606701940035272,247.0,2.47,0.05445326278659612,307.0,3.07,0.06768077601410935,982.0,9.82,0.21649029982363316
13,13,Bush - Speech15 - Edited.txt,06/07/1989,1989-07-06,2447713.5,0.228515625,3584.0,819.0,21.73224043715847,204.0,183.0,64.0,167.0,20.0,334.0,8.0,400.0,208.0,13.0,5.0,96.0,341.0,136.0,19.0,142.0,349.0,40.0,237.0,6.0,1.0,21.0,143.0,6.0,258.0,42.0,87.0,48.0,190.0,116.0,18.0,29.0,22.0,3.0,10.0,3.0,3.0,1.0,2.0,2.0,0.0,638.0,6.38,0.17801339285714285,226.0,2.26,0.06305803571428571,244.0,2.44,0.06808035714285714,741.0,7.41,0.20675223214285715
14,14,Bush - Speech16 - Edited.txt,16/07/1989,1989-07-16,2447723.5,0.2412689949346841,3751.0,905.0,19.9,214.0,210.0,79.0,194.0,20.0,388.0,30.0,407.0,184.0,20.0,2.0,66.0,418.0,158.0,6.0,121.0,348.0,38.0,279.0,7.0,2.0,23.0,112.0,4.0,190.0,135.0,70.0,72.0,154.0,123.0,16.0,38.0,27.0,4.0,12.0,4.0,0.0,1.0,0.0,3.0,0.0,703.0,7.03,0.18741668888296453,206.0,2.06,0.05491868834977339,288.0,2.88,0.07677952545987736,744.0,7.44,0.19834710743801653
15,15,Bush - Speech17 - Edited.txt,28/07/1989,1989-07-28,2447735.5,0.27467811158798283,2796.0,768.0,20.72,160.0,150.0,46.0,120.0,18.0,296.0,12.0,298.0,131.0,5.0,3.0,64.0,290.0,133.0,5.0,79.0,292.0,19.0,206.0,2.0,1.0,13.0,87.0,0.0,175.0,62.0,68.0,68.0,148.0,89.0,21.0,26.0,10.0,0.0,8.0,0.0,0.0,0.0,2.0,0.0,1.0,507.0,5.07,0.1813304721030043,139.0,1.39,0.04971387696709585,209.0,2.09,0.07474964234620887,610.0,6.1,0.21816881258941345
16,16,Bush - Speech18 - Edited.txt,15/08/1989,1989-08-15,2447753.5,0.25989304812834224,2805.0,729.0,21.12837837837838,170.0,148.0,35.0,123.0,4.0,308.0,24.0,342.0,167.0,10.0,0.0,80.0,292.0,94.0,11.0,108.0,260.0,25.0,193.0,5.0,1.0,14.0,95.0,6.0,189.0,43.0,53.0,61.0,144.0,72.0,11.0,20.0,11.0,3.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,505.0,5.05,0.1800356506238859,177.0,1.77,0.06310160427807486,199.0,1.99,0.07094474153297682,562.0,5.62,0.20035650623885917
17,17,Bush - Speech19 - Edited.txt,23/08/1989,1989-08-23,2447761.5,0.2314730100640439,4372.0,1012.0,19.647773279352226,232.0,247.0,74.0,220.0,22.0,488.0,28.0,496.0,229.0,14.0,8.0,101.0,466.0,184.0,17.0,163.0,423.0,49.0,299.0,4.0,3.0,22.0,122.0,7.0,257.0,75.0,69.0,80.0,234.0,139.0,28.0,29.0,12.0,4.0,3.0,4.0,0.0,0.0,1.0,0.0,0.0,830.0,8.3,0.1898444647758463,251.0,2.51,0.057410795974382436,306.0,3.06,0.06999085086916743,854.0,8.54,0.19533394327538883
18,18,Bush - Speech20 - Edited.txt,31/08/1989,1989-08-31,2447769.5,0.2887588800668617,2393.0,691.0,21.524193548387093,148.0,124.0,39.0,106.0,7.0,223.0,20.0,290.0,120.0,6.0,3.0,49.0,251.0,120.0,10.0,95.0,202.0,23.0,164.0,5.0,1.0,15.0,95.0,5.0,138.0,35.0,74.0,45.0,106.0,86.0,13.0,14.0,23.0,1.0,8.0,1.0,1.0,1.0,0.0,0.0,2.0,476.0,4.76,0.19891349770162975,129.0,1.29,0.053907229419139155,170.0,1.7,0.0710405348934392,484.0,4.84,0.20225658169661512
19,19,Bush - Speech21 - Edited.txt,06/09/1989,1989-09-06,2447775.5,0.2529824561403509,2850.0,721.0,20.025316455696203,151.0,158.0,51.0,150.0,28.0,303.0,17.0,296.0,174.0,12.0,1.0,52.0,317.0,96.0,5.0,113.0,269.0,23.0,190.0,6.0,1.0,18.0,90.0,8.0,162.0,34.0,71.0,60.0,152.0,102.0,14.0,14.0,12.0,2.0,5.0,2.0,1.0,0.0,4.0,0.0,0.0,531.0,5.31,0.1863157894736842,187.0,1.87,0.0656140350877193,197.0,1.97,0.06912280701754386,581.0,5.81,0.20385964912280702
