,Filename,TTR,WordCount,UniqueWords,MLU,'',",",.,:,CC,CD,DT,EX,IN,JJ,JJR,JJS,MD,NN,NNP,NNPS,NNS,PDT,POS,PRP,PRP$,RB,RBR,RBS,RP,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WRB,``,$,FW,WP$
14,Reagan - Speech12 - Edited.txt,0.2636125654450262,3820.0,1007.0,22.684491978609625,1.0,234.0,187.0,2.0,166.0,38.0,390.0,26.0,474.0,203.0,9.0,0.0,87.0,415.0,155.0,4.0,136.0,2.0,5.0,350.0,41.0,228.0,8.0,4.0,22.0,130.0,8.0,211.0,110.0,96.0,107.0,189.0,113.0,32.0,33.0,24.0,1.0,1.0,0.0,0.0
15,Reagan - Speech8 - Edited.txt,0.2765300393037619,3562.0,985.0,23.78787878787879,4.0,197.0,165.0,4.0,135.0,32.0,378.0,28.0,483.0,172.0,11.0,4.0,76.0,438.0,143.0,4.0,151.0,4.0,9.0,276.0,49.0,226.0,4.0,0.0,19.0,115.0,14.0,199.0,120.0,93.0,63.0,152.0,73.0,33.0,30.0,15.0,4.0,2.0,0.0,0.0
16,Reagan - Speech30 - Edited.txt,0.28179871520342614,2335.0,658.0,23.636363636363637,3.0,154.0,110.0,1.0,94.0,45.0,251.0,13.0,336.0,106.0,8.0,5.0,34.0,263.0,60.0,3.0,78.0,3.0,5.0,223.0,38.0,153.0,0.0,3.0,6.0,82.0,4.0,100.0,86.0,58.0,63.0,97.0,68.0,18.0,14.0,10.0,3.0,2.0,0.0,0.0
17,Reagan - Speech37 - Edited.txt,0.24855666970525675,3291.0,818.0,21.790419161676645,3.0,177.0,168.0,6.0,138.0,29.0,340.0,13.0,435.0,143.0,12.0,4.0,67.0,339.0,73.0,2.0,112.0,4.0,4.0,348.0,25.0,250.0,2.0,0.0,11.0,111.0,10.0,189.0,110.0,90.0,89.0,166.0,86.0,41.0,18.0,19.0,3.0,2.0,0.0,0.0
18,Reagan - Speech22 - Edited.txt,0.24258373205741626,4180.0,1014.0,23.798969072164947,1.0,242.0,194.0,9.0,184.0,45.0,458.0,24.0,561.0,195.0,14.0,6.0,70.0,462.0,122.0,5.0,182.0,3.0,3.0,354.0,55.0,271.0,9.0,3.0,26.0,125.0,7.0,203.0,156.0,115.0,119.0,211.0,83.0,40.0,35.0,19.0,1.0,5.0,0.0,0.0
19,Reagan - Speech25 - Edited.txt,0.2746710526315789,3040.0,835.0,18.894444444444446,2.0,181.0,179.0,3.0,120.0,30.0,343.0,26.0,408.0,139.0,21.0,5.0,62.0,357.0,58.0,2.0,145.0,5.0,3.0,280.0,33.0,182.0,4.0,0.0,17.0,90.0,16.0,144.0,82.0,74.0,89.0,181.0,62.0,26.0,22.0,8.0,2.0,0.0,0.0,0.0
20,Reagan - Speech13 - Edited.txt,0.2602813852813853,3696.0,962.0,25.879746835443036,2.0,234.0,158.0,7.0,140.0,58.0,381.0,31.0,512.0,192.0,20.0,6.0,61.0,437.0,117.0,6.0,148.0,3.0,2.0,293.0,38.0,242.0,2.0,0.0,13.0,102.0,8.0,172.0,110.0,94.0,105.0,202.0,96.0,37.0,32.0,20.0,2.0,6.0,0.0,0.0
21,Reagan - Speech46 - Edited.txt,0.26599113362887905,3158.0,840.0,24.3006993006993,7.0,171.0,143.0,7.0,121.0,44.0,335.0,29.0,416.0,150.0,16.0,3.0,49.0,326.0,87.0,1.0,123.0,4.0,5.0,293.0,35.0,213.0,2.0,1.0,15.0,109.0,11.0,171.0,115.0,69.0,80.0,147.0,98.0,28.0,16.0,20.0,7.0,7.0,1.0,0.0
22,Reagan - Speech14 - Edited.txt,0.25621414913957935,3661.0,938.0,22.276243093922652,0.0,189.0,181.0,6.0,151.0,50.0,420.0,26.0,498.0,186.0,8.0,3.0,89.0,413.0,112.0,7.0,150.0,0.0,5.0,302.0,33.0,224.0,8.0,1.0,22.0,100.0,10.0,218.0,60.0,96.0,86.0,185.0,109.0,37.0,29.0,15.0,0.0,3.0,0.0,0.0
23,Reagan - Speech41 - Edited.txt,0.2917956656346749,2584.0,754.0,23.907563025210084,8.0,139.0,119.0,5.0,124.0,25.0,247.0,16.0,342.0,150.0,5.0,4.0,53.0,285.0,65.0,4.0,90.0,2.0,4.0,245.0,35.0,164.0,3.0,1.0,8.0,87.0,2.0,126.0,109.0,68.0,77.0,114.0,55.0,19.0,18.0,13.0,8.0,6.0,0.0,0.0
24,Reagan - Speech9 - Edited.txt,0.28979952830188677,3392.0,983.0,24.175324675324674,2.0,177.0,154.0,4.0,118.0,83.0,352.0,29.0,448.0,186.0,14.0,6.0,72.0,412.0,91.0,2.0,147.0,5.0,8.0,280.0,37.0,192.0,5.0,1.0,29.0,91.0,11.0,157.0,76.0,105.0,82.0,181.0,77.0,39.0,24.0,14.0,2.0,9.0,0.0,1.0
