,index,Filename,Date,JDate,Julian,TTR,WordCount,UniqueWords,MLU,Fillers,NSNouns,LIVerbs,$,'',",",.,:,CC,CD,DT,EX,IN,JJ,JJR,JJS,MD,NN,NNP,NNPS,NNS,PDT,POS,PRP,PRP$,RB,RBR,RP,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WRB,``,RBS,FW,WP$,Nouns,Nouns/100,NounsNormalised,Adjectives,Adjectives/100,AdjectivesNormalised,Adverbs,Adverbs/100,AdverbsNormalised,Verbs,Verbs/100,VerbsNormalised
33,33,Reagan - Speech35 - Edited.txt,09/04/1986,1986-04-09,2446529.5,0.2490555855369671,3706.0,923.0,20.78391959798995,19.0,22.0,130.0,2.0,2.0,231.0,199.0,2.0,183.0,37.0,353.0,16.0,479.0,180.0,7.0,1.0,89.0,365.0,75.0,5.0,142.0,3.0,2.0,403.0,53.0,302.0,7.0,18.0,111.0,4.0,197.0,102.0,90.0,94.0,207.0,102.0,18.0,33.0,17.0,2.0,3.0,0.0,0.0,587.0,5.87,0.1583917970858068,188.0,1.88,0.050728548300053966,312.0,3.12,0.08418780356179169,792.0,7.92,0.21370750134916353
34,34,Reagan - Speech36 - Edited.txt,07/05/1986,1986-05-07,2446557.5,0.2954144620811288,2268.0,670.0,21.921739130434784,5.0,13.0,79.0,0.0,2.0,138.0,115.0,2.0,89.0,27.0,246.0,10.0,300.0,114.0,4.0,1.0,36.0,247.0,40.0,4.0,100.0,4.0,4.0,204.0,20.0,153.0,6.0,7.0,96.0,4.0,127.0,69.0,53.0,64.0,115.0,59.0,30.0,20.0,7.0,2.0,2.0,0.0,0.0,391.0,3.91,0.17239858906525574,119.0,1.19,0.05246913580246913,161.0,1.61,0.07098765432098765,487.0,4.87,0.21472663139329806
35,35,Reagan - Speech37 - Edited.txt,11/06/1986,1986-06-11,2446592.5,0.24855666970525675,3291.0,818.0,21.790419161676645,9.0,16.0,118.0,2.0,3.0,177.0,168.0,6.0,138.0,29.0,340.0,13.0,435.0,143.0,12.0,4.0,67.0,339.0,73.0,2.0,112.0,4.0,4.0,348.0,25.0,250.0,2.0,11.0,111.0,10.0,189.0,110.0,90.0,89.0,166.0,86.0,41.0,18.0,19.0,3.0,0.0,0.0,0.0,526.0,5.26,0.159829838954725,159.0,1.59,0.04831358249772106,252.0,2.52,0.07657247037374658,730.0,7.3,0.22181707687632937
36,36,Reagan - Speech38 - Edited.txt,12/08/1986,1986-08-12,2446654.5,0.2414481897627965,4005.0,967.0,24.75418994413408,14.0,17.0,152.0,2.0,1.0,242.0,179.0,8.0,189.0,33.0,415.0,26.0,499.0,168.0,5.0,7.0,94.0,394.0,154.0,6.0,172.0,4.0,7.0,359.0,51.0,275.0,3.0,32.0,156.0,11.0,254.0,142.0,91.0,100.0,173.0,83.0,37.0,36.0,18.0,1.0,4.0,0.0,0.0,726.0,7.26,0.18127340823970037,180.0,1.8,0.0449438202247191,282.0,2.82,0.07041198501872659,843.0,8.43,0.2104868913857678
37,37,Reagan - Speech39 - Edited.txt,19/11/1986,1986-11-19,2446753.5,0.2385542168674699,3320.0,792.0,21.8,17.0,17.0,118.0,2.0,4.0,214.0,170.0,3.0,156.0,18.0,366.0,28.0,443.0,146.0,6.0,3.0,54.0,341.0,102.0,6.0,134.0,1.0,2.0,337.0,37.0,220.0,1.0,12.0,107.0,5.0,168.0,181.0,77.0,77.0,159.0,62.0,24.0,19.0,15.0,4.0,1.0,1.0,0.0,583.0,5.83,0.17560240963855422,155.0,1.55,0.046686746987951805,222.0,2.22,0.06686746987951807,724.0,7.24,0.21807228915662652
38,38,Reagan - Speech40 - Edited.txt,19/03/1987,1987-03-19,2446873.5,0.23228674631842175,3599.0,836.0,23.210526315789476,10.0,21.0,134.0,3.0,4.0,196.0,171.0,11.0,149.0,19.0,381.0,22.0,423.0,142.0,8.0,5.0,78.0,355.0,91.0,3.0,123.0,6.0,2.0,401.0,39.0,264.0,7.0,19.0,117.0,5.0,206.0,235.0,96.0,101.0,146.0,46.0,26.0,30.0,34.0,4.0,1.0,0.0,0.0,572.0,5.72,0.15893303695470964,155.0,1.55,0.04306751875520978,272.0,2.72,0.07557654904140039,830.0,8.3,0.2306196165601556
39,39,Reagan - Speech41 - Edited.txt,11/06/1987,1987-06-11,2446957.5,0.2917956656346749,2584.0,754.0,23.907563025210084,8.0,10.0,80.0,6.0,8.0,139.0,119.0,5.0,124.0,25.0,247.0,16.0,342.0,150.0,5.0,4.0,53.0,285.0,65.0,4.0,90.0,2.0,4.0,245.0,35.0,164.0,3.0,8.0,87.0,2.0,126.0,109.0,68.0,77.0,114.0,55.0,19.0,18.0,13.0,8.0,1.0,0.0,0.0,444.0,4.44,0.17182662538699692,159.0,1.59,0.06153250773993808,168.0,1.68,0.06501547987616099,549.0,5.49,0.21246130030959753
40,40,Reagan - Speech42 - Edited.txt,22/10/1987,1987-10-22,2447090.5,0.2470684483228797,3667.0,906.0,23.584795321637426,16.0,15.0,134.0,9.0,0.0,192.0,171.0,7.0,152.0,57.0,382.0,16.0,488.0,172.0,14.0,11.0,85.0,385.0,93.0,6.0,126.0,5.0,4.0,376.0,28.0,224.0,2.0,23.0,127.0,8.0,204.0,87.0,95.0,89.0,209.0,93.0,36.0,37.0,18.0,0.0,2.0,0.0,0.0,610.0,6.1,0.16634851377147533,197.0,1.97,0.05372238887373875,228.0,2.28,0.06217616580310881,777.0,7.77,0.2118898281974366
41,41,Reagan - Speech43 - Edited.txt,24/02/1988,1988-02-24,2447215.5,0.2738301559792028,2885.0,790.0,24.50769230769231,12.0,15.0,113.0,3.0,0.0,168.0,130.0,6.0,146.0,29.0,308.0,18.0,368.0,121.0,8.0,4.0,65.0,299.0,81.0,2.0,111.0,3.0,1.0,267.0,39.0,184.0,4.0,14.0,101.0,5.0,162.0,97.0,75.0,84.0,142.0,75.0,21.0,19.0,24.0,0.0,1.0,1.0,0.0,493.0,4.93,0.1708838821490468,133.0,1.33,0.04610051993067591,189.0,1.89,0.06551126516464471,635.0,6.35,0.22010398613518198
42,42,Reagan - Speech44 - Edited.txt,01/06/1988,1988-06-01,2447313.5,0.26602904711300035,2823.0,751.0,22.148936170212764,11.0,9.0,118.0,0.0,2.0,153.0,141.0,8.0,126.0,18.0,292.0,18.0,341.0,160.0,0.0,2.0,67.0,319.0,49.0,4.0,104.0,6.0,3.0,285.0,68.0,170.0,3.0,7.0,99.0,3.0,158.0,87.0,55.0,88.0,158.0,62.0,24.0,19.0,17.0,2.0,4.0,1.0,0.0,476.0,4.76,0.16861494863620263,162.0,1.62,0.057385759829968117,177.0,1.77,0.06269925611052073,608.0,6.08,0.21537371590506554
43,43,Reagan - Speech45 - Edited.txt,21/06/1988,1988-06-21,2447333.5,0.2566026410564225,3332.0,855.0,23.60897435897436,11.0,16.0,137.0,0.0,5.0,194.0,156.0,7.0,163.0,19.0,332.0,32.0,417.0,138.0,14.0,3.0,84.0,367.0,95.0,3.0,114.0,7.0,3.0,336.0,38.0,244.0,0.0,19.0,102.0,7.0,192.0,140.0,86.0,68.0,167.0,58.0,20.0,26.0,22.0,5.0,0.0,0.0,0.0,579.0,5.79,0.17376950780312125,155.0,1.55,0.04651860744297719,244.0,2.44,0.07322929171668667,711.0,7.11,0.21338535414165666
44,44,Reagan - Speech46 - Edited.txt,08/12/1988,1988-12-08,2447503.5,0.26599113362887905,3158.0,840.0,24.3006993006993,10.0,12.0,112.0,7.0,7.0,171.0,143.0,7.0,121.0,44.0,335.0,29.0,416.0,150.0,16.0,3.0,49.0,326.0,87.0,1.0,123.0,4.0,5.0,293.0,35.0,213.0,2.0,15.0,109.0,11.0,171.0,115.0,69.0,80.0,147.0,98.0,28.0,16.0,20.0,7.0,1.0,1.0,0.0,537.0,5.37,0.1700443318556048,169.0,1.69,0.05351488283723876,216.0,2.16,0.06839772007599747,680.0,6.8,0.21532615579480685
